Product URL,Product Name,Price (RUB),Rating
https://goldapple.ru/19000247238-irresistible-very-floral,Givenchy: irresistible very floral,12510,4.4
https://goldapple.ru/19000035561-memoire-de-roses,L'Artisan Parfumeur: memoire de roses,17000,5
https://goldapple.ru/19000311810-prophetissa,Palazzo Della Bellezza: Prophetissa,1993,5
https://goldapple.ru/19000153561-sensoriel-ambraser,J.U.S Joyau Unique & Sensoriel: Sensoriel Ambraser,7850,5
https://goldapple.ru/82510800002-41-burlington-arcade,ATKINSONS: 41 Burlington Arcade,15525,3.7
https://goldapple.ru/19000010974-allegra-riva-solare,Bvlgari: Allegra Riva Solare,21310,5
https://goldapple.ru/19000152687-flora-bloom,LE PARFUM FRANCAIS: FLORA BLOOM,750,4
https://goldapple.ru/19000150183-un-deux-trois-soleil,BASTILLE: Un Deux Trois Soleil,9682,4.3
https://goldapple.ru/19000173779-un-rendez-vous-avec-cezanne,Rose et Marius: Un rendez-vous avec Cézanne,2652,4.8
https://goldapple.ru/19000166820-castling,Mind Games: Castling,17885,4.4
https://goldapple.ru/19760343531-toy-2-bubble-gum,Moschino: TOY 2 BUBBLE GUM,3675,4.7
https://goldapple.ru/19000298135-bordeaux-plaisir-de-la-nuit,Birkholz: Bordeaux Plaisir De La Nuit,18692,None
https://goldapple.ru/90151200002-black-pepper-amber-neroli,"Zielinski & Rozen: Black Pepper, Vetiver, Neroli, Amber",6360,4.8
https://goldapple.ru/19760313907-colonia-futura,Acqua di Parma: COLONIA FUTURA,17900,5
https://goldapple.ru/19760310036-l-ame-slave,State Of Mind: L'Ame Slave,6994,5
https://goldapple.ru/19000222208-bois-blanc-pudique,ANTINOMIE: Bois Blanc Pudique,4210,4.8
https://goldapple.ru/19000121296-jade,SIGNATURE BY SILLAGE DORIENT: Jade,16875,4.6
https://goldapple.ru/19000260482-velvet-oud,GIARDINO MAGICO: Velvet oud,18500,None
https://goldapple.ru/19000131304-midnight-toast,Vellutier: Midnight Toast,4597,5
https://goldapple.ru/26375300002-lost-cherry,Tom Ford: Lost Cherry,46913,4.2
https://goldapple.ru/80620700002-soir-d-orient,Sisley: Soir d'Orient,23190,5
https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,ESSENTIAL PARFUMS PARIS: Bois imperial refillable limited edition,6881,4.2
